Source,Country,ISO Code,Region,Variable,Unit,Service,Mode,Vehicle Type,Technology,Fuel,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ATO2023 TAS-VEP-018,Tonga,TON,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Turkmenistan,TKM,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Tuvalu,TUV,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Uzbekistan,UZB,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Vanuatu,VUT,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Viet Nam,VNM,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097,0.104,0.098,0.1025,0.1069,0.111,0.1125,0.1184,0.1367,0.154,0.1614,0.1705,,,
ATO2023 TAS-VEP-018,"Hong Kong, China",HKG,China,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018149,0.01897,0.019198,0.019457,0.019745,0.020153,0.020264,0.020029,0.019794,0.019694,0.019768,0.019729,0.019839,0.019809,0.019957,0.020214,0.020628,0.020861,0.02102,0.021152,0.021176,0.021822,0.022129,0.022003,0.021799,0.02174
ATO2023 TAS-VEP-018,"Taipei,China",TWN,China,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013726,0.014069,0.014305,0.014231,0.014231,0.014343,0.014715,0.014619,0.015238,0.015572,0.015501,0.016737,0.017443,0.017997,0.018605,0.019188,0.018968,0.018884,0.019096,0.019845,0.029991,0.031098,0.03196,0.032928,0.03389,0.034531,0.034188,0.033877,0.033288,0.032521,0.031936,
ATO2023 TAS-VEP-018,Iran (Islamic Republic of),IRN,Middle East,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00168,0.000906,,,
ATO2023 TAS-VEP-018,Russian Federation,RUS,Russia,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.792,,,,,0.894,,,,,0.873,,0.896,0.864,0.869,,,
