# Source: 2010 year from 2012 edition of IEA energy balances
# Composite regions (Other Africa, Other Latin America, Other Asia) downscaled to the countries on the basis of population
# Middle East nations rail energy re-set from 0 to values shown assuming 2 tonnes of fuel per km of rail per year
iso,FLOW,PRODUCT,value
gib,MARBUNK,Total of all energy sources,2432
gib,AVBUNK,Total of all energy sources,5
gib,ROAD,Total of all energy sources,108
gtm,MARBUNK,Total of all energy sources,290
gtm,AVBUNK,Total of all energy sources,42
gtm,ROAD,Total of all energy sources,1894
hti,AVBUNK,Total of all energy sources,21
hti,ROAD,Total of all energy sources,131
hnd,MARBUNK,Total of all energy sources,1
hnd,AVBUNK,Total of all energy sources,49
hnd,ROAD,Total of all energy sources,996
hkg,MARBUNK,Total of all energy sources,12178
hkg,AVBUNK,Total of all energy sources,5465
hkg,ROAD,Total of all energy sources,1847
hkg,DOMESNAV,Total of all energy sources,0
ind,MARBUNK,Total of all energy sources,166
ind,AVBUNK,Total of all energy sources,3787
ind,DOMESAIR,Total of all energy sources,1623
ind,ROAD,Total of all energy sources,48818
ind,RAIL,Total of all energy sources,3746
ind,DOMESNAV,Total of all energy sources,1290
idn,MARBUNK,Total of all energy sources,230
idn,AVBUNK,Total of all energy sources,680
idn,DOMESAIR,Total of all energy sources,2302
idn,ROAD,Total of all energy sources,31576
idn,RAIL,Total of all energy sources,0
idn,DOMESNAV,Total of all energy sources,2009
irn,MARBUNK,Total of all energy sources,2282
irn,AVBUNK,Total of all energy sources,1284
irn,RAIL,Total of all energy sources,26
irn,ROAD,Total of all energy sources,40585
irq,MARBUNK,Total of all energy sources,138
irq,AVBUNK,Total of all energy sources,750
irq,RAIL,Total of all energy sources,4
irq,ROAD,Total of all energy sources,10045
jam,MARBUNK,Total of all energy sources,40
jam,AVBUNK,Total of all energy sources,256
jam,DOMESAIR,Total of all energy sources,0
jam,ROAD,Total of all energy sources,492
jam,RAIL,Total of all energy sources,244
jor,MARBUNK,Total of all energy sources,17
jor,AVBUNK,Total of all energy sources,363
jor,DOMESAIR,Total of all energy sources,7
jor,RAIL,Total of all energy sources,1
jor,ROAD,Total of all energy sources,1738
ken,MARBUNK,Total of all energy sources,6
ken,AVBUNK,Total of all energy sources,575
ken,DOMESAIR,Total of all energy sources,3
ken,ROAD,Total of all energy sources,1496
ken,RAIL,Total of all energy sources,71
ken,DOMESNAV,Total of all energy sources,1
prk,ROAD,Total of all energy sources,296
kwt,MARBUNK,Total of all energy sources,392
kwt,AVBUNK,Total of all energy sources,811
kwt,ROAD,Total of all energy sources,3974
lbn,MARBUNK,Total of all energy sources,25
lbn,AVBUNK,Total of all energy sources,236
lbn,RAIL,Total of all energy sources,1
lbn,ROAD,Total of all energy sources,1737
lby,MARBUNK,Total of all energy sources,86
lby,AVBUNK,Total of all energy sources,272
lby,DOMESAIR,Total of all energy sources,3
